code,description,ethnic_category
0,White,A
1,Black - Caribbean,M
2,Black - African,N
3,Black - Other,P
4,Indian,H
5,Pakistani,J
6,Bangladeshi,K
7,Chinese,R
8,Any other ethnic group,S
9,Not given,Z
